,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
225,Vzdrževalec za Inkjet in Laserske MFC naprave (m/ž),26.2.2021,Ljubljana,Pavlin d.o.o. Ljubljana,https://www.optius.com/iskalci/prosta-delovna-mesta/vzdrzevalec-za-inkjet-in-laserske-mfc-naprave-mz-752796-752796/,"Podjetje Pavlin d.o.o. Ljubljana, je eno izmed vodilnih podjetij s področja prodaje in proizvodnje tonerjev in kartuš za tiskalnike, fakse in fotokopirne stroje. Svoje proizvode tržimo v Sloveniji in tujini. V uspešen kolektiv našega podjetja vabi...",27.1.2021,Gorenjska,optius.com
226,STROJNIK 4 TE1 - M/Ž,25. 02. 2021,RIBNICA,"INLES PROIZVODNJA, TRŽENJE IN INŽENIRING, D.D. KOLODVORSKA 22, RIBNICA",https://www.iskanjedela.si/search-jobs?jobId=2652668&RECENCY=3DAYSAGO&STATE=Jugovzhodna%20Slovenija,"KOMPLETIRANJE IN MONTAŽA DODATKOV, MONTAŽA DODATNIH LETEV NA KRILA, MONTAŽA LETEV V ALU LES KRILA, MOZNIČENJE ŠPROSEN IN VKLAD, POMOČNIK STROJA ANDI, KRPANJE OKEN IN VRAT, NAREZ IN DOLBLENJE ELEMENTOV POLKEN, OKVIRNO STISKANJE KRILA, OKVIRJA IN VR...",10.02.2021,Jugovzhodna Slovenija,iskanjedela.si
227,Računovodja (m/ž),27.02.2021,Ajdovščina,"C-ASTRAL, PROIZVODNJA ZRAČNIH IN VESOLJSKIH PLOVIL D.O.O.",https://www.deloglasnik.si/Zaposlitev/279125/Racunovodja-mz/,  - samostojno vodenje poslovnih knjig in izdelava mesečnih poročil  - knjiženje poslovnih dogodkov in druga računovodska dela  - priprava računovodskih izkazov  - poročanje finančnim in državnim ustanovam  - vnos dokumentov in knjiženje le teh  -...,28.01.2021,Goriška,deloglasnik.si
228,Prodajalec m/ž Jesenice,/,Jesenice,TEDi Betriebs,https://www.mojedelo.com/prodajalec-mz-jesenice/d-515927,"Pričakujemo osebe, katere veseli delo v trgovini, sortiranje in zlaganje izdelkov na prodajne police, urejanje izgleda trgovine, veselje do dela s strankami.",10.2.2021,Gorenjska,mojedelo.com
229,PROIZVODNI DELAVEC - VZDRŽEVALEC - M/Ž,12. 02. 2021,LJUBLJANA,"HOJA, LEPLJENE KONSTRUKCIJE IN ŽAGA, D.D.",https://www.iskanjedela.si/search-jobs?jobId=2652123&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"VZDRŽEVANJE STROJEV, OPREME IN OBJEKTOV, PREGLED OPREME IN STROJEV, SODELOVANJE PRI MONTAŽI OPREME, NAPRAV, VZDRŽEVANJE NAPRAV, MANJŠA POPRAVILA OZ. SERVISIRANJE STROJEV IN OPREME (VARJENJE, BRUŠENJE ŽAG), DRUGA DELA ",09.02.2021,Osrednjeslovenska,iskanjedela.si
230,Komercialist m/ž,20.3.2021,Celje,MANPOWER d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/komercialist-mz-755342-755342/,"Za našega naročnika, uspešno mednarodno podjetje iščemo kandidate za prosto delovno mesto ""Komercialist"" m/ž.",18.2.2021,Savinjska,optius.com
231,FINANČNI SVETOVALEC INŠPEKTOR V ODDELKU ZA CARINJENJE LETALIŠČE BRNIK – 1 DELOVNO MESTO IN V ODDELKU ZA CARINJENJE LJUBLJANA – 3 DELOVNA MESTA - M/Ž,26. 02. 2021,LJUBLJANA,FURS; FINANČNI URAD LJUBLJANA,https://www.iskanjedela.si/search-jobs?jobId=2655778&RECENCY=TODAY&STATE=Osrednjeslovenska,"- OPRAVLJANJE NALOG S CARINSKEGA, TROŠARINSKEGA, DAVČNEGA IN OSTALIH DELOVNIH PODROČIJ FINANČNE UPRAVE, - OPRAVLJANJE KONTROL S CARINSKEGA, TROŠARINSKEGA, DAVČNEGA IN OSTALIH DELOVNIH PODROČIJ FINANČNE UPRAVE, - ODKRIVANJE IN PREPREČEVANJE PREKRŠK...",18.02.2021,Osrednjeslovenska,iskanjedela.si
232,Mesar m/ž,2.3.2021,Bohinjska Bistrica,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/mesar-mz-754998-754998/,/,16.2.2021,Gorenjska,optius.com
233,Varilec na robotu,/,Maribor,Palfinger d.o.o.,https://www.mojedelo.com/varilec-na-robotu/d-513534,"Iščemo osebe, sodelavce ki so: izkušeni na področju varjenja in sestave jeklenih elementov, pripravljeni na priučitev za strojno varjenje (posluževanje in nadzor varilnih robotov), motivirani, delavni in zanesljivi ter sposobni timskega dela, prip...",18.02.2021,Podravska,mojedelo.com
234,KOMERCIALIST IN ADMINISTRATOR - M/Ž,26. 02. 2021,CELJE,"ARAM, trgovina, posredništvo in transport, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2653059&RECENCY=3DAYSAGO&STATE=Savinjska,KOMERCIALIST IN ADMINISTRATOR ,11.02.2021,Savinjska,iskanjedela.si
