Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Analitik v Službi za upravljanje s tveganji (m/ž),4.3.2021,Ljubljana,"Zavarovalnica Triglav, d.d.",https://www.optius.com/iskalci/prosta-delovna-mesta/analitik-v-sluzbi-za-upravljanje-s-tveganji-mz-755207-755207/,/,17.2.2021,Gorenjska,optius.com
Svetovalec za vodenje registracijskih postopkov biocidov in FFS m/ž,26.2.2021,Trzin,Artemisa d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/svetovalec-za-vodenje-registracijskih-postopkov-biocidov-in-ffs-mz-755192-755192/,Svetovalno podjetje Artemisa d.o.o. zaposli strokovnjaka z univerzitetno izobrazbo naravoslovne smeri,17.2.2021,Gorenjska,optius.com
Prodajalec (m/ž),28.2.2021,Kamnik,Spar Slovenija d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-755142-755142/,/,17.2.2021,Gorenjska,optius.com
Serviser tovornih vozil m/ž,18.3.2021,Kranj,Personal center d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/serviser-tovornih-vozil-755028-755028/,"Za uspešno in rastoče podjetje s tradicijo, ki deluje na področju mednarodnega transporta in logističnih storitev iščemo sodelavca na področju: SERVISER TOVORNIH VOZIL",17.2.2021,Gorenjska,optius.com
Komisionar m/ž,2.3.2021,Naklo,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/komisionar-mz-755188-755188/,/,17.2.2021,Gorenjska,optius.com
Vzdrževalec m/ž,5.3.2021,Naklo ,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/vzdrzevalec-mz-755187-755187/,/,17.2.2021,Gorenjska,optius.com
Sodelavec za finančni in proizvodni kontroling m/ž,19.3.2021,Kranj,JKPS d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/sodelavec-za-financni-in-proizvodni-kontroling-mz-755201-755201/,"Za mednarodno proizvodno podjetje iščemo strokovnjaka, ki bo deloval na področju finančnega in proizvodnega kontrolinga.",17.2.2021,Gorenjska,optius.com
Referent za skladiščno administracijo (m/ž) v Kranju,19.3.2021,Kranj,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/referent-za-skladiscno-administracijo-mz-v-kranju-755173-755173/,"Pridružite se mednarodnemu proizvodnemu podjetju, ki se lahko pohvali z nazivom Top Employer Slovenija! Če imate dobre organizacijske sposobnosti, so vam všeč administrativne naloge in se dobro znajdete tudi v novih nevsakdanjih situacijah, se nam...",17.2.2021,Gorenjska,optius.com
Proizvodni delavec - Kranj (m/ž),19.3.2021,Kranj,MANPOWER d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/proizvodni-delavec-kranj-mz-755198-755198/,"Super priložnost! Za našega naročnika, uspešno mednarodno podjetje, iščemo Proizvodnega delavca m/ž.Nudimo dolgoročno sodelovanje in proste vikende!",17.2.2021,Gorenjska,optius.com
Specialist za obračun plač (m/ž),19.3.2021,Ljubljana,Workforce d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/specialist-za-obracun-plac-mz-755226-755226/,"Regionalna HR družba Workforce d.o.o., ki že več kot 20 let uspešno opravlja storitve na področju zaposlovanja in kadrovanja, s poslovalnicami v državah Adriatic regije - v Sloveniji, Srbiji, Bosni in Hercegovini, na Hrvaškem, v Črni gori in Maked...",17.2.2021,Gorenjska,optius.com
Strojni vzdrževalec - Kranj m/ž,19.3.2021,Kranj,MANPOWER d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/strojni-vzdrzevalec-kranj-mz-755221-755221/,"Super priložnost! Za našega naročnika, uspešno mednarodno podjetje, iščemo Strojnega vzdrževalca m/ž.Nudimo dolgoročno sodelovanje in proste vikende!",17.2.2021,Gorenjska,optius.com
